ID,link_name,link_url,link_type,read,date_created,date_read
1,Flask Views App as a Reference,https://github.com/rohitchormale/cookiecutter-flask,Python,0,2019-11-12,2021-02-12
2,Cartoon intro to DNS over HTTPS,https://hacks.mozilla.org/2018/05/a-cartoon-intro-to-dns-over-https/,Networking,0,2019-11-10,2021-02-12
3,FRP Coding,https://futureofcoding.org/essays/dctp.html,Coding,0,2019-11-10,2021-02-12
4,GitHub super goodies Collection,https://github.com/rsapkf/goodies,References,0,2019-11-10,2021-02-12
5,"An always-available, online-capable Raspberry Pi in your pocket",https://justinmiller.io/posts/2019/09/21/pi-gadget/,Embedded,0,2019-11-10,2021-02-12
6,Programming in 1969,https://www.ilikebigbits.com/2019_07_08_programming_in_1969.html,Coding,0,2019-11-10,2021-02-12
7,A Multi-Person Brain-to-Brain Interface for Direct Collaboration Between Brains,https://www.nature.com/articles/s41598-019-41895-7,Science,0,2019-11-10,2021-02-12
8,A Machine Learning Guide to HTM (Hierarchical Temporal Memory),https://numenta.com/blog/2019/10/24/machine-learning-guide-to-htm,AI,0,2019-11-10,2021-02-12
9,Faster CSS layouts,https://hacks.mozilla.org/2019/10/faster-layouts-with-css-grid-and-subgrid/,CSS,0,2019-11-10,2021-02-12
10,Quantum Computing in Rust Part # 1,https://walther.guru/blog/impl-quantum-part-1/,Quantum,0,2019-11-10,2021-02-12
11,Great collection of tools for robotics in C++ and Python,https://github.com/Ly0n/awesome-robotic-tooling/blob/master/README.md,Robotics,0,2019-11-10,2021-02-12
12,Introducing SafeLife: Safety Benchmarks for Reinforcement Learning,https://www.partnershiponai.org/safelife/,AI,0,2019-12-11,2021-02-12
13,"1,300 Free Online Courses from Top Universities",http://www.openculture.com/freeonlinecourses,Courses,0,2019-11-10,2021-02-12
14,PostGRES Via RESTFUL API,postgrest.org/en/v6.0/,Database,0,2019-11-10,2021-02-12
15,pastebin scraper,https://github.com/dmuhs/pastebin-scraper,Web,0,2019-11-10,2021-02-12
16,Embedded Systems Projects,https://www.theengineeringprojects.com/,Embedded,0,2019-11-12,2021-02-12
17,C# full application development video,https://www.youtube.com/watch?v=eBY1HHDe7NE,C#,0,2019-12-12,2021-02-12
18,TensorFlow Models Deployment with AutoML,https://medium.com/tensorflow/build-and-deploy-tensorflow-js-models-with-the-power-of-automl-1985b8985083,ML,0,2019-11-12,2021-02-12
